"Transaction ID"	"Account ID"	"Symbol ID"	"ISIN"	"Operation type"	"When"	"Sum"	"Asset"	"EUR equivalent"	"Comment"	"UUID"	"Parent UUID"
"358359805"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-26 03:00:26"	"-1.91"	"EUR"	"-1.91"	"-9178.43 EUR (cash -9178.43 P/L 0.00 margin 0.00) from 2022-05-27 till 2022-05-30"	"95d1dc19-cb13-4bef-810a-8cc84d38dccd"	"None"
"358060954"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-25 03:00:25"	"-0.1"	"USD"	"-0.09"	"-979.98 USD (cash -979.98 P/L 0.00 margin 0.00) from 2022-05-26 till 2022-05-27"	"5af19504-d746-42f0-9860-b933578250b6"	"None"
"358060953"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-25 03:00:25"	"-0.64"	"EUR"	"-0.64"	"-9177.79 EUR (cash -9177.79 P/L 0.00 margin 0.00) from 2022-05-26 till 2022-05-27"	"f1bca04f-7981-42be-afd1-11c6c07d71bb"	"None"
"357797585"	"UYS2073.001"	"DON.ARCA"	"None"	"TAX"	"2022-05-24 11:53:47"	"-1.53"	"USD"	"-1.43"	"60 shares ExD 2022-05-24 PD 2022-05-27 dividend DON.ARCA 5.10 USD (0.085 per share) tax -1.53 USD (-30.00%) DivCntry US"	"f64ccc65-b46e-4ecf-ada8-15a70fc8f546"	"1668e871-8939-4f4c-969c-0d8b3c13df1e"
"357797584"	"UYS2073.001"	"DON.ARCA"	"None"	"DIVIDEND"	"2022-05-24 11:53:47"	"5.1"	"USD"	"4.76"	"60 shares ExD 2022-05-24 PD 2022-05-27 dividend DON.ARCA 5.10 USD (0.085 per share) tax -1.53 USD (-30.00%) DivCntry US"	"1668e871-8939-4f4c-969c-0d8b3c13df1e"	"None"
"357725668"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-24 03:00:26"	"-0.1"	"USD"	"-0.09"	"-983.45 USD (cash -983.45 P/L 0.00 margin 0.00) from 2022-05-25 till 2022-05-26"	"395de5ad-8bfe-4c8a-bf88-ebc4f5401ae0"	"None"
"357725667"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-24 03:00:26"	"-0.64"	"EUR"	"-0.64"	"-9177.15 EUR (cash -9177.15 P/L 0.00 margin 0.00) from 2022-05-25 till 2022-05-26"	"886e53c9-3087-46a7-a446-38cec33b5ba2"	"None"
"357425127"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-23 03:00:29"	"-0.1"	"USD"	"-0.09"	"-983.35 USD (cash -983.35 P/L 0.00 margin 0.00) from 2022-05-24 till 2022-05-25"	"13b5628d-97c2-44e1-9fdb-a59cd94ea9e5"	"None"
"357425126"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-23 03:00:29"	"-0.64"	"EUR"	"-0.64"	"-9176.51 EUR (cash -9176.51 P/L 0.00 margin 0.00) from 2022-05-24 till 2022-05-25"	"74b922ab-67a4-4a6a-9b6b-bcfdfd85a4ba"	"None"
"357069291"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-20 03:00:29"	"-0.1"	"USD"	"-0.09"	"-983.25 USD (cash -983.25 P/L 0.00 margin 0.00) from 2022-05-23 till 2022-05-24"	"36cde9df-0c82-473f-85e4-2fcca7c8ea8f"	"None"
"357069290"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-20 03:00:29"	"-0.64"	"EUR"	"-0.64"	"-9175.87 EUR (cash -9175.87 P/L 0.00 margin 0.00) from 2022-05-23 till 2022-05-24"	"22aeeb61-ebd5-4c47-9bde-e6123d92b572"	"None"
"356673807"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-19 03:00:30"	"-0.29"	"USD"	"-0.28"	"-982.96 USD (cash -982.96 P/L 0.00 margin 0.00) from 2022-05-20 till 2022-05-23"	"3dd7080a-9200-4440-b4cf-6d5ac9827df7"	"None"
"356673806"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-19 03:00:30"	"-1.91"	"EUR"	"-1.91"	"-9173.96 EUR (cash -9173.96 P/L 0.00 margin 0.00) from 2022-05-20 till 2022-05-23"	"eb30bc69-d958-4d96-8d71-df459c727a6f"	"None"
"356309072"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-18 03:00:26"	"-0.1"	"USD"	"-0.09"	"-982.86 USD (cash -982.86 P/L 0.00 margin 0.00) from 2022-05-19 till 2022-05-20"	"675f3fbd-a1a0-4b6e-8430-eb02e0f0bc0e"	"None"
"356309071"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-18 03:00:26"	"-0.64"	"EUR"	"-0.64"	"-9173.32 EUR (cash -9173.32 P/L 0.00 margin 0.00) from 2022-05-19 till 2022-05-20"	"5d29fa9f-5195-48d3-a7b8-bec363ac3c24"	"None"
"355991038"	"UYS2073.001"	"None"	"None"	"INTEREST"	"2022-05-17 03:00:24"	"-0.1"	"USD"	"-0.1"	"-982.76 USD (cash -982.76 P/L 0.00 margin 0.00) from 2022-05-18 till 2022-05-19"	"20891af6-6760-4ddc-8114-af1963da6372"	"None"
